#signalNumber pressure[MPa] length[mm]
11848 0.481167 98.90043
11849 0.114595 104.904974
11850 0.138121 105.362403
11851 0.333458 102.956071
11852 0.450772 98.141811
11853 0.452677 97.505602
11854 0.1889 100.145469
11855 0.022575 107.894373
11856 0.368662 103.067207
11857 0.33457 103.047879
11858 0.158336 103.279815
11859 0.203553 103.249212
11860 0.211158 103.255655
11861 0.398881 100.264658
11862 0.139513 104.001392
11863 0.206907 103.94824
11864 0.256571 103.841936
11865 0.158772 103.94824
11866 0.063596 107.166351
11867 0.016601 108.393681
11868 0.485399 99.299873
11869 0.225607 99.945747
11870 0.006675 108.203622
11871 0.371242 103.225052
11872 0.210001 103.208945
11873 0.06927 106.338467
11874 0.490186 98.533201
11875 0.026879 107.209839
11876 0.479664 98.694266
11877 0.229211 99.348193
11878 0.169573 102.989895
11879 0.318315 102.089535
11880 0.239301 102.073429
11881 0.118951 104.669817
11882 0.152774 104.668207
11883 0.205984 104.660153
11884 0.282119 103.7308
11885 0.471128 99.3643
11886 0.337026 98.054836
11887 0.147587 103.878981
11888 0.492994 98.670106
11889 0.45233 97.491106
11890 0.297866 97.576471
11891 0.299432 97.57486
11892 0.397636 97.64734
11893 0.244578 98.570246
11894 0.351614 98.573467
11895 0.215737 100.332305
11896 0.191867 101.770624
11897 0.126514 104.950073
11898 0.449394 100.177682
11899 0.322905 99.655829
11900 0.244088 99.729919
11901 0.047515 107.398287
11902 0.014892 108.403345
11903 0.177689 107.515866
11904 0.486837 97.818069
11905 0.494791 95.787033
11906 0.439618 95.774148
11907 0.450188 95.764484
11908 0.094535 105.834329
11909 0.073201 106.927972
11910 0.033121 108.237446
11911 0.407802 102.210335
11912 0.300029 100.839663
11913 0.040388 107.543247
11914 0.031169 108.118256
11915 0.054786 108.147249
11916 0.020375 108.211675
11917 0.270417 105.737689
11918 0.279346 105.673262
11919 0.040472 107.828336
11920 0.112769 108.020006
11921 0.238968 106.267598
11922 0.205511 106.29659
11923 0.404802 99.208066
11924 0.412545 99.14364
11925 0.033198 107.620559
11926 0.072957 107.868603
11927 0.251126 106.066265
11928 0.005822 108.240667
11929 0.476484 97.618348
11930 0.026321 107.435332
11931 0.327689 103.94985
11932 0.313379 102.912583
11933 0.178748 103.136466
11934 0.358729 100.95402
11935 0.24471 101.016835
11936 0.313141 100.970126
11937 0.047065 107.217892
11938 0.169326 106.979513
11939 0.320666 104.007834
11940 0.477711 96.395861
11941 0.383434 96.352373
11942 0.457448 96.355594
11943 0.292175 96.498943
11944 0.146572 104.107696
11945 0.4027 100.532027
11946 0.416422 98.407569
11947 0.218183 99.837833
11948 0.391372 98.404348
11949 0.152607 103.542353
11950 0.46582 99.174242
11951 0.067219 106.098478
11952 0.406282 101.261656
11953 0.29777 101.226221
11954 0.057997 106.937636
11955 0.375814 102.277983
11956 0.261919 102.282815
11957 0.482783 95.824078
11958 0.256657 97.503991
11959 0.356477 97.523319
11960 0.438378 97.383192
11961 0.481303 96.17198
11962 0.098885 105.529913
11963 0.493986 97.837397
11964 0.024181 107.006895
11965 0.015493 108.163355
11966 0.499457 98.088659
11967 0.473107 96.202582
11968 0.119165 104.705252
11969 0.357888 101.688481
11970 0.305637 101.678817
11971 0.189735 101.772235
11972 0.170486 102.825608
11973 0.091809 106.227331
11974 0.185933 106.042105
11975 0.410819 101.330914
11976 0.473844 96.260566
11977 0.266632 97.505602
11978 0.29332 97.508823
11979 0.111589 105.465486
11980 0.085142 106.601006
11981 0.076316 107.085817
11982 0.21359 106.071097
11983 0.021234 107.895984
11984 0.347071 103.468262
11985 0.24339 103.543963
11986 0.386502 100.475654
11987 0.251134 100.498203
11988 0.339092 100.498203
11989 0.002488 108.469383
11990 0.142113 108.016784
11991 0.383987 102.115306
11992 0.203424 101.992896
11993 0.04113 107.752634
11994 0.415146 101.628886
11995 0.209407 101.520972
11996 0.213661 101.501644
11997 0.131045 104.79706
11998 0.200867 104.768068
11999 0.433232 100.327473
12000 0.420154 99.124312
12001 0.29095 99.130754
12002 0.236052 99.968296
12003 0.342114 99.887763
12004 0.354468 99.889374
12005 0.206953 101.279373
12006 0.432452 98.834393
12007 0.046914 107.006895
12008 0.060746 107.448218
12009 0.256014 105.536355
12010 0.143744 105.676483
12011 0.231556 105.566958
12012 0.067325 107.050383
12013 0.061497 107.04394
12014 0.464104 97.961418
12015 0.271712 98.428508
12016 0.24932 98.50743
12017 0.140939 104.518415
12018 0.493637 98.298045
12019 0.420356 96.809799
12020 0.225605 99.011566
12021 0.057279 107.349967
12022 0.4108 101.736801
12023 0.129012 103.693755
12024 0.125174 105.267374
12025 0.239756 104.718137
12026 0.249121 104.697199
12027 0.257156 104.695588
12028 0.294497 103.756571
12029 0.454719 98.075774
12030 0.034727 106.974681
12031 0.444893 99.497984
12032 0.186163 100.945966
12033 0.095005 105.998617
12034 0.333426 102.980231
12035 0.245012 102.962514
12036 0.396401 99.884542
12037 0.056136 106.815225
12038 0.215882 105.922915
12039 0.076963 106.824889
12040 0.252575 105.396227
12041 0.295622 104.135077
12042 0.38179 99.728308
12043 0.108438 105.217444
12044 0.011937 108.332476
12045 0.230017 106.314307
12046 0.167075 106.290147
12047 0.213107 106.340078
12048 0.150988 106.290147
12049 0.097482 106.472153
12050 0.478534 96.120439
12051 0.287678 97.112602
12052 0.461528 95.886894
12053 0.420835 95.885283
12054 0.46661 95.922328
12055 0.261896 97.855114
12056 0.139727 104.268762
12057 0.241909 104.138298
12058 0.253122 104.110917
12059 0.194407 104.078704
12060 0.313936 103.036604
12061 0.484173 96.521492
12062 0.375642 96.220299
12063 0.073433 106.410947
12064 0.484453 98.103155
12065 0.359527 96.86295
12066 0.347416 96.901606
12067 0.387582 96.893553
12068 0.104224 105.534745
12069 0.042828 107.599621
12070 0.100831 107.530362
12071 0.334353 103.867707
12072 0.483805 96.146209
12073 0.067739 106.365849
12074 0.425604 100.432166
12075 0.345027 98.769967
12076 0.283427 98.842447
12077 0.233567 98.992238
12078 0.200107 100.652826
12079 0.172814 102.727357
12080 0.387936 100.333916
12081 0.223057 101.677206
12082 0.083644 105.797283
12083 0.069031 107.014948
12084 0.345604 103.197671
12085 0.120688 105.439715
12086 0.133191 105.397838
12087 0.193027 105.357571
12088 0.450596 97.640897
12089 0.34604 97.62318
12090 0.381179 97.669889
12091 0.49668 95.809583
12092 0.133772 104.123802
12093 0.355887 101.670764
12094 0.168146 103.605168
12095 0.491006 95.911054
12096 0.430006 95.861123
12097 0.112767 104.995172
12098 0.035326 107.641498
12099 0.04513 107.62217
12100 0.354502 103.321692
12101 0.091231 105.992174
12102 0.139785 106.014723
12103 0.36189 102.118527
12104 0.071175 105.758627
12105 0.198944 106.050158
12106 0.284612 104.371844
12107 0.490673 96.914491
12108 0.181108 101.223
12109 0.387865 99.931251
12110 0.146806 103.378065
12111 0.300504 102.14913
12112 0.314512 102.166847
12113 0.412394 99.430337
12114 0.209953 101.519361
12115 0.274214 101.498423
12116 0.079585 106.257934
12117 0.293826 104.160847
12118 0.274848 104.151183
12119 0.499387 95.788644
12120 0.281777 96.920934
12121 0.241346 98.053225
12122 0.22383 99.882932
12123 0.415782 98.470385
12124 0.416359 98.484881
12125 0.058944 106.476985
12126 0.321187 103.506918
12127 0.151785 104.811556
12128 0.354217 100.590011
12129 0.168696 102.179732
12130 0.288065 101.685259
12131 0.382201 100.127752
12132 0.329178 100.081043
12133 0.15119 103.183175
12134 0.363996 100.647994
12135 0.18329 102.211946
12136 0.335112 101.184344
12137 0.472914 98.035508
12138 0.440636 97.980745
12139 0.248713 98.199795
12140 0.1437 103.954682
12141 0.168918 103.99656
12142 0.309324 102.738632
12143 0.373582 101.084483
12144 0.342073 101.095758
12145 0.153045 102.670984
12146 0.423983 98.836004
12147 0.305883 98.845668
12148 0.130199 103.358737
12149 0.451192 98.934254
12150 0.221792 101.239107
12151 0.485603 95.825689
12152 0.475344 95.811193
12153 0.459672 95.791865
12154 0.42725 95.816025
12155 0.419279 95.8273
12156 0.0289 107.451439
12157 0.167654 107.169572
12158 0.422283 99.549525
12159 0.163879 101.628886
12160 0.122882 104.950073
12161 0.432402 100.372572
12162 0.025523 106.855492
12163 0.459978 99.402955
12164 0.11452 104.714916
12165 0.093606 106.122638
12166 0.245756 105.046713
12167 0.070546 106.985956
12168 0.377009 102.181343
12169 0.337058 102.194228
12170 0.117979 104.16729
12171 0.21268 104.025552
12172 0.181384 103.97401
12173 0.433764 99.923198
12174 0.055461 106.306254
12175 0.026381 107.978128
12176 0.106433 107.892763
12177 0.000705 108.575687
12178 0.423673 101.756129
12179 0.252443 100.435387
12180 0.114463 105.446158
12181 0.425513 100.557798
12182 0.102007 104.906585
12183 0.474883 98.897209
12184 0.453024 97.3542
12185 0.369563 97.365475
12186 0.053406 106.977903
12187 0.496537 97.908266
12188 0.042904 106.72986
12189 0.107047 107.370906
12190 0.253769 105.323747
12191 0.329467 103.349073
12192 0.128176 104.608612
12193 0.19353 104.552239
12194 0.429755 99.696095
12195 0.263897 99.826558
12196 0.05196 107.238831
12197 0.241248 105.607225
12198 0.351125 102.748296
12199 0.497841 95.524497
12200 0.043889 106.702478
12201 0.142978 107.098703
12202 0.044488 107.546469
12203 0.271907 105.048324
12204 0.039546 107.527141
12205 0.192369 106.902201
12206 0.038525 107.995846
12207 0.023381 108.31798
12208 0.414605 100.053661
12209 0.137258 104.289701
12210 0.496043 98.873049
12211 0.144132 102.732189
12212 0.229297 103.82744
12213 0.368684 101.226221
12214 0.319844 101.213336
12215 0.476723 96.126881
12216 0.01239 107.180847
12217 0.351277 102.949629
12218 0.310982 103.007613
12219 0.242394 102.991506
12220 0.488015 96.015746
12221 0.14849 103.489201
12222 0.307303 102.424553
12223 0.439841 99.303095
12224 0.27189 99.380406
12225 0.047572 107.298426
12226 0.354544 102.867485
12227 0.265205 102.925469
12228 0.457553 96.755037
12229 0.009196 107.407951
12230 0.207174 106.349742
12231 0.0189 108.060272
12232 0.391366 101.110254
12233 0.479593 95.97548
12234 0.366364 96.031853
12235 0.02726 107.401508
12236 0.25405 105.405891
12237 0.440857 97.903434
12238 0.477808 96.004472
12239 0.393539 96.054402
12240 0.356272 96.030242
12241 0.049894 107.122863
12242 0.166981 106.861934
12243 0.374883 102.559848
12244 0.10078 104.838937
12245 0.325188 102.134634
12246 0.126945 104.4105
12247 0.14995 104.407279
12248 0.079937 106.734692
12249 0.304899 104.109306
12250 0.327532 103.295921
12251 0.384443 100.569072
12252 0.187215 101.957461
12253 0.14092 104.40889
12254 0.1347 104.370234
12255 0.277591 103.848379
12256 0.245731 103.8516
12257 0.375081 101.258434
12258 0.285251 101.264877
12259 0.223439 101.311586
12260 0.36744 100.263047
12261 0.021022 107.467546
12262 0.406938 101.799616
12263 0.096599 104.975844
12264 0.124113 105.703865
12265 0.235139 105.078926
12266 0.107078 105.948686
12267 0.343377 102.872317
12268 0.02567 107.353188
12269 0.371264 102.165236
12270 0.023634 107.424058
12271 0.456748 98.209459
12272 0.319503 97.560364
12273 0.4105 97.418627
12274 0.447823 97.423458
12275 0.109711 105.381731
12276 0.312428 103.331356
12277 0.17159 104.321914
12278 0.202294 104.326746
12279 0.126102 105.368846
12280 0.177032 105.384953
12281 0.494456 95.751599
12282 0.154918 103.452155
12283 0.054256 107.427279
12284 0.410999 101.812502
12285 0.127533 104.205946
12286 0.220552 103.994949
12287 0.17392 103.991728
12288 0.272957 103.825829
12289 0.018599 107.978128
12290 0.024561 108.372742
12291 0.112078 108.282545
12292 0.143359 108.137584
12293 0.465142 98.761914
12294 0.3285 97.734315
12295 0.186524 101.704587
12296 0.124718 105.16107
12297 0.456699 100.00212
12298 0.479166 96.239627
12299 0.207457 99.670325
12300 0.226127 100.868655
12301 0.315166 100.731749
12302 0.274332 100.676986
12303 0.495559 97.423458
12304 0.22474 100.427334
12305 0.458588 97.702102
12306 0.120413 104.391172
12307 0.11585 104.82122
12308 0.421039 100.496592
12309 0.214967 101.506476
12310 0.196794 101.482316
12311 0.080194 106.496313
12312 0.497831 97.961418
12313 0.214843 99.322423
12314 0.38554 98.452668
12315 0.481541 96.510217
12316 0.380203 96.587529
12317 0.046365 106.965017
12318 0.317996 103.703419
12319 0.401802 99.016398
12320 0.213923 100.290428
12321 0.274544 100.309756
12322 0.230119 100.321031
12323 0.114033 105.170734
12324 0.068275 106.652548
12325 0.167144 106.572014
12326 0.31728 103.772677
12327 0.151751 104.977454
12328 0.361641 100.656048
12329 0.472371 97.236622
12330 0.393551 97.273668
12331 0.414887 97.299438
12332 0.372941 97.305881
12333 0.321783 97.323598
12334 0.347861 97.362254
12335 0.026979 107.800954
12336 0.496269 98.318983
12337 0.154624 102.994727
12338 0.426921 99.770185
12339 0.091804 105.589507
12340 0.290789 103.213777
12341 0.034287 106.963407
12342 0.481303 98.858553
12343 0.019456 107.282319
12344 0.398741 101.475874
12345 0.310611 99.860382
12346 0.212321 100.659269
12347 0.054038 107.295204
12348 0.12972 107.258159
12349 0.203603 106.546244
12350 0.228523 106.447993
12351 0.337582 103.305585
12352 0.438681 97.417016
12353 0.365626 97.418627
12354 0.49574 95.596976
12355 0.127555 104.226885
12356 0.099572 105.932579
12357 0.183156 105.78923
12358 0.224795 105.484814
12359 0.312565 103.382897
12360 0.073281 106.526916
12361 0.497922 96.619742
12362 0.498666 95.819246
12363 0.064113 106.249881
12364 0.018863 108.308316
12365 0.119056 108.147249
12366 0.38414 102.654878
12367 0.278914 101.437218
12368 0.396138 99.398123
12369 0.080389 106.294979
12370 0.13493 106.485038
12371 0.167146 106.502756
12372 0.031028 108.047387
12373 0.458396 99.515701
12374 0.46733 97.099717
12375 0.252112 98.55736
12376 0.281043 98.534811
12377 0.233706 99.923198
12378 0.072114 106.969849
12379 0.496394 98.230397
12380 0.386585 96.838791
12381 0.300906 96.964422
12382 0.426757 96.848455
12383 0.012024 107.609285
12384 0.259689 105.442937
12385 0.136727 106.071097
12386 0.254625 105.439715
12387 0.275884 104.06904
12388 0.230427 104.054544
12389 0.058747 106.948911
12390 0.352118 103.130023
12391 0.089083 106.351353
12392 0.070241 107.229167
12393 0.224403 106.032441
12394 0.132808 106.101699
12395 0.465368 96.908049
12396 0.234304 98.918148
12397 0.396074 98.757082
12398 0.006619 107.987792
12399 0.421659 100.498203
12400 0.150647 102.875538
12401 0.342285 101.541911
12402 0.013393 107.91048
12403 0.094445 107.976517
12404 0.051734 107.986181
12405 0.279674 105.47515
12406 0.139512 106.116195
12407 0.014716 108.179462
12408 0.183226 107.378959
12409 0.251218 105.647491
12410 0.331876 102.577566
12411 0.059722 107.082596
12412 0.379313 102.385897
12413 0.449289 97.42829
12414 0.229858 99.203234
12415 0.268275 99.233836
12416 0.335073 99.229004
12417 0.133873 104.590895
12418 0.040328 107.799344
12419 0.442671 100.052051
12420 0.1561 102.194228
12421 0.108915 105.684537
12422 0.011647 108.387238
12423 0.473924 99.280545
12424 0.209506 100.399953
12425 0.445756 97.510434
12426 0.441613 97.492717
12427 0.314632 97.576471
12428 0.459453 97.495938
12429 0.042922 107.0681
12430 0.125345 107.353188
12431 0.006224 108.235835
12432 0.475777 98.971299
12433 0.116406 105.091812
12434 0.481904 98.575078
12435 0.328196 97.197967
12436 0.165215 102.820776
12437 0.165936 103.165457
12438 0.335371 101.659489
12439 0.477734 98.190131
12440 0.048807 106.660601
12441 0.401819 101.587009
12442 0.421098 97.81968
12443 0.033407 107.056825
12444 0.065318 107.628613
12445 0.15365 107.383791
12446 0.103068 107.395066
12447 0.025826 108.202011
12448 0.269009 105.409113
12449 0.461397 97.429901
12450 0.341249 97.038512
12451 0.461116 96.991803
12452 0.264261 97.790688
12453 0.363013 97.758475
12454 0.094933 106.225721
12455 0.4518 99.427115
12456 0.366128 97.979135
12457 0.253103 98.847279
12458 0.009808 108.15047
12459 0.048853 108.189126
12460 0.142722 108.00551
12461 0.165259 107.887931
12462 0.497982 96.988582
12463 0.411779 95.933603
12464 0.489062 95.948099
12465 0.209998 100.327473
12466 0.366187 99.766964
12467 0.299838 99.789513
12468 0.137934 103.724358
12469 0.44493 99.515701
12470 0.135176 103.696976
12471 0.211837 103.534299
12472 0.016561 108.05544
12473 0.050066 108.10376
12474 0.115366 108.00551
12475 0.488104 98.045172
12476 0.148244 103.716304
12477 0.010645 108.144027
12478 0.008804 108.508039
12479 0.260234 106.025998
12480 0.00806 108.227782
12481 0.471288 97.810016
12482 0.358177 96.946705
12483 0.239937 98.790906
12484 0.035792 107.952357
12485 0.092897 107.957189
12486 0.214174 106.733081
12487 0.055611 107.971685
12488 0.041184 108.065104
12489 0.087984 108.050608
12490 0.291246 105.28026
12491 0.497114 95.648517
12492 0.355374 95.762874
12493 0.343129 95.751599
12494 0.350211 95.746767
12495 0.388911 95.783812
12496 0.144706 104.453988
12497 0.308077 103.055932
12498 0.063471 106.665433
12499 0.444607 100.206674
12500 0.451259 97.359032
12501 0.374128 97.359032
12502 0.277712 97.505602
12503 0.110394 105.660377
12504 0.459618 99.280545
12505 0.084085 106.053379
12506 0.384618 101.693313
12507 0.342552 101.707809
12508 0.309544 101.71103
12509 0.046108 107.274266
12510 0.465076 98.92298
12511 0.124844 104.552239
12512 0.035129 108.003899
12513 0.45955 99.245111
12514 0.132995 104.115749
12515 0.123784 105.384953
12516 0.49653 97.956586
12517 0.261883 98.223954
12518 0.22889 99.195181
12519 0.26884 99.203234
12520 0.314187 99.200013
12521 0.145294 103.885424
12522 0.158969 103.885424
12523 0.499732 98.67977
12524 0.216533 99.70898
12525 0.024493 107.953968
12526 0.015366 108.421062
12527 0.117966 108.255163
12528 0.172628 107.678544
12529 0.252137 105.834329
12530 0.157122 105.919694
12531 0.434127 97.824512
12532 0.121905 104.996782
12533 0.401678 101.047438
12534 0.003518 107.812229
12535 0.161762 107.388623
12536 0.169506 107.367684
12537 0.226156 106.153241
12538 0.466621 97.934036
12539 0.25786 98.583131
12540 0.464235 96.460287
12541 0.306067 97.284942
12542 0.057513 107.287151
12543 0.438891 99.899038
12544 0.497139 95.814415
12545 0.001007 107.884709
12546 0.203232 106.773348
12547 0.055137 107.881488
12548 0.241114 106.211225
12549 0.199309 106.180622
12550 0.411632 98.243282
12551 0.242915 99.185517
12552 0.397597 98.064499
12553 0.25957 98.885934
12554 0.073029 107.005284
12555 0.460349 99.072771
12556 0.185289 100.846106
12557 0.309838 100.657658
12558 0.412484 98.832783
12559 0.45059 98.127315
12560 0.339265 98.16275
12561 0.482239 96.229963
12562 0.36808 96.244459
12563 0.491041 96.118828
12564 0.004742 108.003899
12565 0.010115 108.532199
12566 0.23589 106.530137
12567 0.304355 104.378287
12568 0.076999 106.135523
12569 0.189827 105.853657
12570 0.390842 101.582177
12571 0.45064 97.218905
12572 0.173276 101.788342
12573 0.208337 102.864264
12574 0.244107 102.859432
12575 0.081677 106.642884
12576 0.151554 106.629998
12577 0.223301 105.823054
12578 0.471113 97.950143
12579 0.087657 105.977678
12580 0.421799 100.968516
12581 0.294885 100.258215
12582 0.350988 100.264658
12583 0.345558 100.242108
12584 0.448562 97.708545
12585 0.213776 100.2711
12586 0.329295 100.155133
12587 0.012089 108.016784
12588 0.006623 108.533809
12589 0.22983 106.544633
12590 0.479549 97.28011
12591 0.10432 105.592729
12592 0.380018 101.558017
12593 0.362156 100.401564
12594 0.364298 100.420892
12595 0.12854 104.120581
12596 0.480261 98.958414
12597 0.169964 101.388898
12598 0.09057 106.191897
12599 0.216539 105.591118
12600 0.070374 106.750798
12601 0.342123 103.060764
12602 0.443273 97.842229
12603 0.485442 96.00125
12604 0.4041 96.012525
12605 0.292469 96.888721
12606 0.373811 96.833959
12607 0.15048 103.893477
12608 0.080345 106.65738
12609 0.264708 104.930745
12610 0.439017 98.364082
12611 0.075118 106.375513
12612 0.113455 106.733081
12613 0.06934 107.320975
12614 0.400374 101.849547
12615 0.431903 97.589356
12616 0.253226 98.547696
12617 0.196697 101.495202
12618 0.313193 101.266488
12619 0.489982 97.714987
12620 0.195541 101.298701
12621 0.412361 98.940697
12622 0.471073 96.490889
12623 0.254891 97.975913
12624 0.415598 97.349368
12625 0.360529 97.404131
12626 0.398369 97.338094
12627 0.103721 105.69259
12628 0.117556 105.686147
12629 0.299298 103.745296
12630 0.282042 103.759792
12631 0.183924 103.822608
12632 0.180503 103.788784
12633 0.267747 103.735632
12634 0.178547 103.756571
12635 0.077389 106.82811
12636 0.406878 101.751297
12637 0.282626 101.733579
12638 0.319192 101.71103
12639 0.217362 101.781899
12640 0.445978 98.451057
12641 0.280441 98.550918
12642 0.24227 99.573685
12643 0.043315 107.704314
12644 0.136479 107.593178
12645 0.401451 101.78351
12646 0.028463 107.409562
12647 0.220395 106.232163
12648 0.025077 108.016784
12649 0.426664 99.868436
12650 0.092636 105.889091
12651 0.146053 106.140355
12652 0.303505 103.772677
12653 0.275328 103.814555
12654 0.475065 96.579475
12655 0.279158 97.429901
12656 0.169782 102.964125
12657 0.005685 108.197179
12658 0.00183 108.661052
12659 0.279212 105.508974
12660 0.29852 104.689145
12661 0.301968 103.378065
12662 0.021016 107.730085
12663 0.228816 106.32075
12664 0.159205 106.336857
12665 0.18661 106.330414
12666 0.094411 106.965017
12667 0.079299 107.438554
12668 0.168347 107.243663
12669 0.259548 105.541187
12670 0.255691 105.557294
12671 0.456095 97.536204
12672 0.313985 97.631233
12673 0.445234 97.570028
12674 0.263079 97.703713
12675 0.482457 96.09789
12676 0.11546 105.307641
12677 0.47316 99.338529
12678 0.409731 97.520098
12679 0.327896 97.508823
12680 0.15835 103.502086
12681 0.31985 102.108863
12682 0.48247 98.177245
12683 0.281333 97.714987
12684 0.035447 107.657605
12685 0.06608 107.786458
12686 0.373146 102.767624
12687 0.005001 108.152081
12688 0.031595 108.456497
12689 0.102008 108.379185
12690 0.059188 108.403345
12691 0.080733 108.425895
12692 0.246949 106.391619
12693 0.351905 103.329745
12694 0.134463 104.423386
12695 0.405441 100.216338
12696 0.382252 100.219559
12697 0.280105 100.287207
12698 0.411843 98.816676
12699 0.499355 95.948099
12700 0.123394 104.674649
12701 0.032185 108.066715
12702 0.399234 102.192618
12703 0.218138 101.75935
12704 0.096519 105.980899
12705 0.343997 102.654878
12706 0.406136 99.330476
12707 0.160749 101.904309
12708 0.226413 102.555016
12709 0.089286 106.245049
12710 0.017439 108.358246
12711 0.299572 104.896921
12712 0.337842 102.273151
12713 0.298743 102.134634
12714 0.240769 102.139466
12715 0.418107 99.26605
12716 0.046473 107.011727
12717 0.083978 107.514255
12718 0.132632 107.456271
12719 0.400229 102.123359
12720 0.016496 107.530362
12721 0.372301 102.770845
12722 0.412009 98.455889
12723 0.269147 98.550918
12724 0.330013 98.536422
12725 0.129921 104.731023
12726 0.237516 104.466874
12727 0.025712 107.916923
12728 0.099267 107.939472
12729 0.340926 103.878981
12730 0.467268 96.771143
12731 0.230946 98.94875
12732 0.362076 98.87627
12733 0.155254 103.60839
12734 0.09916 105.993785
12735 0.257353 104.814777
12736 0.300241 103.793616
12737 0.307818 103.796837
12738 0.077653 106.232163
12739 0.246735 104.808335
12740 0.092207 105.921305
12741 0.361719 102.115306
12742 0.238005 102.1749
12743 0.130623 104.238159
12744 0.064849 107.245274
12745 0.09412 107.282319
12746 0.030233 107.995846
12747 0.038209 108.003899
12748 0.118455 107.970075
12749 0.095389 107.978128
12750 0.434751 101.379234
12751 0.494408 96.065677
12752 0.493987 96.130103
12753 0.130328 104.639215
12754 0.299865 103.424774
12755 0.037028 107.224335
12756 0.001488 108.628839
12757 0.226517 106.744356
12758 0.416324 99.688042
12759 0.326589 98.940697
12760 0.343695 98.950361
12761 0.356899 98.942307
12762 0.433743 97.714987
12763 0.393964 97.77136
12764 0.381032 97.682774
12765 0.46019 97.703713
12766 0.26307 98.797348
12767 0.10168 105.935801
12768 0.075756 106.915087
12769 0.046805 107.696261
12770 0.355377 103.410278
12771 0.248206 103.397393
12772 0.031136 107.71881
12773 0.496908 98.331868
12774 0.264228 98.473606
12775 0.349929 98.375356
12776 0.064429 107.138969
12777 0.3868 102.355294
12778 0.006756 107.457882
12779 0.266659 105.401059
12780 0.238538 105.431662
12781 0.344889 101.306754
12782 0.184607 102.402004
12783 0.056424 107.287151
12784 0.27278 105.08859
12785 0.356664 102.61139
12786 0.095265 104.962958
12787 0.332022 102.542131
12788 0.208187 102.666152
12789 0.009719 107.490095
12790 0.04147 108.189126
12791 0.408339 102.042826
12792 0.410442 98.707151
12793 0.339416 98.723258
12794 0.291995 98.700709
12795 0.260656 98.893988
12796 0.435458 97.542647
12797 0.116896 105.309251
12798 0.061903 107.275876
12799 0.328751 103.734022
12800 0.244067 103.759792
12801 0.11129 105.138521
12802 0.024807 108.163355
12803 0.12861 108.00712
12804 0.065109 108.052219
12805 0.311209 104.713305
12806 0.031025 107.928197
12807 0.404158 99.191959
12808 0.444774 97.388024
12809 0.376899 97.400909
12810 0.358178 97.413795
12811 0.366266 97.40252
12812 0.251389 98.797348
12813 0.173101 102.88037
12814 0.45433 99.07116
12815 0.148997 103.229884
12816 0.472015 97.979135
12817 0.264344 99.103373
12818 0.453454 97.170586
12819 0.034595 107.095481
12820 0.351989 102.90453
12821 0.144292 104.309029
12822 0.44565 97.212463
12823 0.005892 107.583514
12824 0.279008 104.884036
12825 0.233787 104.903364
12826 0.073841 106.675097
12827 0.032806 107.933029
12828 0.032791 107.937861
12829 0.491918 98.428508
12830 0.299902 97.769749
12831 0.385834 97.690827
12832 0.140593 104.376676
12833 0.331651 102.311807
12834 0.409142 100.242108
12835 0.093667 105.441326
12836 0.375801 101.653046
12837 0.447887 97.528151
12838 0.308608 97.595799
12839 0.133376 104.331578
12840 0.302749 102.795005
12841 0.444888 99.227394
12842 0.163931 101.261656
12843 0.378312 99.726698
12844 0.414063 98.816676
12845 0.36996 98.847279
12846 0.157671 102.277983
12847 0.404422 98.869828
12848 0.112642 103.82744
12849 0.125814 104.91947
12850 0.282233 103.455377
12851 0.237654 103.484369
12852 0.278175 103.543963
12853 0.124537 104.982286
12854 0.459844 97.689217
12855 0.334968 97.241454
12856 0.187012 101.433996
12857 0.355447 100.412838
12858 0.365642 100.483707
12859 0.48959 97.536204
12860 0.261778 98.128926
12861 0.063587 106.924751
12862 0.059872 107.375738
12863 0.060349 107.374127
12864 0.429349 101.277762
12865 0.208496 101.268098
12866 0.338126 100.659269
12867 0.383367 99.456107
12868 0.42126 98.586352
12869 0.365881 98.57991
12870 0.462971 96.78886
12871 0.061894 106.422222
12872 0.375556 102.139466
12873 0.485676 95.817636
12874 0.091043 105.666819
12875 0.424929 100.66249
12876 0.041377 106.80395
12877 0.113423 107.362852
12878 0.017452 108.111814
12879 0.352181 103.308806
12880 0.355876 101.123139
12881 0.463403 97.590967
12882 0.437943 97.605463
12883 0.211207 99.902259
12884 0.102423 105.768291
12885 0.485855 98.309319
12886 0.410741 97.101327
12887 0.498153 95.500337
12888 0.406035 95.530939
12889 0.101509 105.497699
12890 0.479381 98.182077
12891 0.336348 97.143204
12892 0.293501 97.177028
12893 0.3042 97.154479
12894 0.441077 97.065893
12895 0.251598 98.004905
12896 0.396872 97.62479
12897 0.16498 102.894866
12898 0.21435 102.902919
12899 0.138912 104.487812
12900 0.095062 106.169347
12901 0.065573 107.127695
12902 0.467626 99.196791
12903 0.394731 97.826122
12904 0.415077 97.784245
12905 0.437286 97.792299
12906 0.432251 97.808405
12907 0.326991 97.816458
12908 0.129879 104.7729
12909 0.118195 105.616889
12910 0.037603 107.784848
12911 0.01146 108.55797
12912 0.248324 106.233774
12913 0.216108 106.219278
12914 0.297315 104.70042
12915 0.358565 101.707809
12916 0.259058 101.75935
12917 0.190982 101.920416
12918 0.236588 101.920416
12919 0.408356 99.39007
12920 0.106716 105.744131
12921 0.334616 102.993117
12922 0.010761 107.701093
