#signalNumber pressure[MPa] length[mm]
266 0.13168 104.23977
267 0.176264 104.811556
268 0.475882 99.398123
269 0.287718 98.668496
270 0.412542 98.544475
271 0.345873 98.513873
272 0.414944 98.554139
273 0.390213 98.525147
274 0.378474 98.526758
275 0.247525 98.631451
276 0.210938 100.910532
277 0.120099 105.132078
278 0.114004 105.834329
279 0.442095 100.536859
280 0.090215 104.884036
281 0.178071 105.521859
282 0.066181 107.190511
283 0.44167 100.870265
284 0.176533 102.039605
285 0.248008 102.013834
286 0.416645 99.406177
287 0.157566 103.162236
288 0.015052 108.037723
289 0.260083 105.650713
290 0.426203 98.902041
291 0.415958 98.65561
292 0.002794 108.140806
293 0.495885 99.296652
294 0.278274 98.33509
295 0.013149 107.953968
296 0.317287 104.197893
297 0.099276 106.096867
298 0.13402 106.106531
299 0.192455 105.940633
300 0.156859 105.935801
301 0.492566 96.573033
302 0.007408 107.496538
303 0.125601 107.842832
304 0.237554 106.032441
305 0.476406 97.006299
306 0.238114 98.657221
307 0.041481 107.730085
308 0.111012 107.707536
309 0.06357 107.699482
310 0.471403 98.60568
311 0.338002 97.652172
312 0.488454 96.031853
313 0.333825 96.236406
314 0.391527 96.229963
315 0.356708 96.249291
316 0.403761 96.217078
317 0.139413 104.397615
318 0.364263 101.617612
319 0.222243 102.542131
320 0.157066 103.812944
321 0.37651 100.652826
322 0.461285 97.59902
323 0.247406 98.721647
324 0.187768 101.939744
325 0.015803 108.129531
326 0.201764 106.911865
327 0.282149 104.954905
328 0.281682 104.911417
329 0.343555 101.970346
330 0.058834 107.024612
331 0.194403 106.391619
332 0.235895 105.811779
333 0.155974 105.845603
334 0.12224 105.926137
335 0.128317 105.956739
336 0.361254 100.862212
337 0.348903 100.878319
338 0.10267 105.768291
339 0.199129 105.681315
340 0.002112 108.516092
341 0.024382 108.532199
342 0.036396 108.506428
343 0.369162 103.635771
344 0.008763 107.746192
345 0.17599 106.863545
346 0.053385 107.875045
347 0.075274 107.899205
348 0.318429 104.478148
349 0.121583 106.439939
350 0.312491 104.175343
351 0.132451 105.144964
352 0.297197 103.455377
353 0.41452 100.09876
354 0.464145 97.727872
355 0.13394 104.392783
356 0.461864 99.473824
357 0.089082 105.45099
358 0.136757 106.145187
359 0.087464 106.762073
360 0.162377 106.636441
361 0.343022 103.266929
362 0.482535 96.634238
363 0.009994 107.45305
364 0.15271 107.364463
365 0.40633 100.702757
366 0.164142 102.215167
367 0.070007 107.056825
368 0.38247 102.292479
369 0.370763 101.269709
370 0.34638 101.232664
371 0.237084 101.224611
372 0.265737 101.279373
373 0.442018 98.322205
374 0.334402 98.404348
375 0.411587 98.312541
376 0.33869 98.43334
377 0.190749 100.641552
378 0.172534 102.901309
379 0.039577 107.76713
380 0.296226 105.004836
381 0.228807 104.884036
382 0.398968 98.953582
383 0.153567 103.033383
384 0.127056 105.122414
385 0.445206 100.198621
386 0.495321 95.795087
387 0.348278 95.896558
388 0.384863 95.920718
389 0.270741 97.172196
390 0.452184 96.701885
391 0.272973 97.763307
392 0.10577 105.710307
393 0.057688 107.391844
394 0.391357 102.36818
395 0.168076 103.61
396 0.332935 102.023498
397 0.190087 102.144298
398 0.107441 104.962958
399 0.251421 104.787396
400 0.053789 107.443386
401 0.104188 107.464325
402 0.266359 105.481593
403 0.438426 98.771578
404 0.250644 99.385238
405 0.034282 107.826725
406 0.342249 103.819387
407 0.491796 96.0238
408 0.233523 98.386631
409 0.042095 107.636666
410 0.239399 105.942243
411 0.467565 97.581303
412 0.119538 104.771289
413 0.334125 102.488979
414 0.3576 102.422942
415 0.40554 98.610512
416 0.13212 104.030384
417 0.438712 99.773407
418 0.210399 101.31964
419 0.042182 107.411172
420 0.488956 98.455889
421 0.014782 107.209839
422 0.246293 105.581454
423 0.434631 98.352807
